Incident Type,Institution,date,Incidents,Prison.Type
Total Use of Chemical Agents,Logan (Female),2020-07-01,0,Maximum Security
Total Use of Chemical Agents,Logan (Female),2020-08-01,2,Maximum Security
Total Use of Chemical Agents,Logan (Female),2020-09-01,1,Maximum Security
Total Use of Chemical Agents,Logan (Female),2020-10-01,5,Maximum Security
Total Use of Chemical Agents,Logan (Female),2020-11-01,2,Maximum Security
Total Use of Chemical Agents,Logan (Female),2020-12-01,6,Maximum Security
Total Use of Chemical Agents,Logan (Female),2021-01-01,4,Maximum Security
Total Use of Chemical Agents,Logan (Female),2021-02-01,4,Maximum Security
Total Use of Chemical Agents,Logan (Female),2021-03-01,3,Maximum Security
Total Use of Chemical Agents,Logan (Female),2021-04-01,5,Maximum Security
Total Use of Chemical Agents,Logan (Female),2021-05-01,5,Maximum Security
Total Use of Chemical Agents,Logan (Female),2021-06-01,3,Maximum Security
Total Use of Chemical Agents,Menard,2020-07-01,5,Maximum Security
Total Use of Chemical Agents,Menard,2020-08-01,6,Maximum Security
Total Use of Chemical Agents,Menard,2020-09-01,6,Maximum Security
Total Use of Chemical Agents,Menard,2020-10-01,7,Maximum Security
Total Use of Chemical Agents,Menard,2020-11-01,7,Maximum Security
Total Use of Chemical Agents,Menard,2020-12-01,6,Maximum Security
Total Use of Chemical Agents,Menard,2021-01-01,4,Maximum Security
Total Use of Chemical Agents,Menard,2021-02-01,16,Maximum Security
Total Use of Chemical Agents,Menard,2021-03-01,3,Maximum Security
Total Use of Chemical Agents,Menard,2021-04-01,9,Maximum Security
Total Use of Chemical Agents,Menard,2021-05-01,10,Maximum Security
Total Use of Chemical Agents,Menard,2021-06-01,9,Maximum Security
Total Use of Chemical Agents,Pontiac,2020-07-01,25,Maximum Security
Total Use of Chemical Agents,Pontiac,2020-08-01,21,Maximum Security
Total Use of Chemical Agents,Pontiac,2020-09-01,22,Maximum Security
Total Use of Chemical Agents,Pontiac,2020-10-01,29,Maximum Security
Total Use of Chemical Agents,Pontiac,2020-11-01,17,Maximum Security
Total Use of Chemical Agents,Pontiac,2020-12-01,6,Maximum Security
Total Use of Chemical Agents,Pontiac,2021-01-01,3,Maximum Security
Total Use of Chemical Agents,Pontiac,2021-02-01,7,Maximum Security
Total Use of Chemical Agents,Pontiac,2021-03-01,13,Maximum Security
Total Use of Chemical Agents,Pontiac,2021-04-01,5,Maximum Security
Total Use of Chemical Agents,Pontiac,2021-05-01,16,Maximum Security
Total Use of Chemical Agents,Pontiac,2021-06-01,12,Maximum Security
Total Use of Chemical Agents,Stateville,2020-07-01,6,Maximum Security
Total Use of Chemical Agents,Stateville,2020-08-01,7,Maximum Security
Total Use of Chemical Agents,Stateville,2020-09-01,3,Maximum Security
Total Use of Chemical Agents,Stateville,2020-10-01,12,Maximum Security
Total Use of Chemical Agents,Stateville,2020-11-01,4,Maximum Security
Total Use of Chemical Agents,Stateville,2020-12-01,7,Maximum Security
Total Use of Chemical Agents,Stateville,2021-01-01,3,Maximum Security
Total Use of Chemical Agents,Stateville,2021-02-01,0,Maximum Security
Total Use of Chemical Agents,Stateville,2021-03-01,5,Maximum Security
Total Use of Chemical Agents,Stateville,2021-04-01,5,Maximum Security
Total Use of Chemical Agents,Stateville,2021-05-01,2,Maximum Security
Total Use of Chemical Agents,Stateville,2021-06-01,1,Maximum Security
Total Use of Chemical Agents,Big Muddy River,2020-07-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2020-08-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2020-10-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2020-11-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2020-12-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2021-01-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2021-02-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2021-03-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2021-04-01,0,Medium Security
